WKT,Enplanements,Passengers,Magnetic_Variation,State_Name,Official_Facility_Name,Elevation_Nearest_Tenth_Of_A_Foot_Msl,Has_Been_Designated_As_A_Customs_Landing_Rights_Airport,Location_Identifier,Departing_Flights,County_Or_Parish_Name,Magnetic_Direction,Facility_Type,Arriving_Flights,Has_Been_Designated_As_An_International_Airport,Icao_Identifier,City_Name,Associated_Aeronautical_Chart,Airport_Activation_Date_Mm_Yyyy,County_s_State_Post_Office_Code,SHAPE_X,SHAPE_Y
"POINT (-87.5266666669728 41.7241666666541)",,,3,Illinois,Chicago Fire Dept Air Sea Rescue,598,,LL35,,Cook,W,Heliport,,,,Chicago,Chicago,11/2002,IL,-87.5266666669728,41.7241666666541
"POINT (-87.6215380001485 41.8964689999439)",,,,Illinois,Lurie Childrens Hospital,1020,,75IS,,Cook,,Heliport,,,,Chicago,Chicago,06/2012,IL,-87.6215380001485,41.8964689999439
"POINT (-87.7333333336639 41.7233333330312)",,,1,Illinois,Advocate Christ Medical Center,669,,IL77,,Cook,W,Heliport,,,,Chicago/Oak Lawn/,Chicago,01/1970,IL,-87.7333333336639,41.7233333330312
"POINT (-88.0525719445016 42.048082777798)",,,1,Illinois,Schaumburg Muni Helistop,730,,4H1,,Cook,W,Heliport,,,,Chicago/Schaumburg,Chicago,02/1990,IL,-88.0525719445016,42.048082777798
"POINT (-87.6444444443105 41.5077777778136)",,,1,Illinois,Franciscan St James Health - Chicago Heights,694,,9IS4,,Cook,W,Heliport,,,,Chicago Heights,Chicago,09/1986,IL,-87.6444444443105,41.5077777778136
"POINT (-88.8374999995738 40.1716666667495)",,,1,Illinois,Clinton Power Station,737,,II41,,De Witt,W,Heliport,,,,Clinton,Chicago,11/2000,IL,-88.8374999995738,40.1716666667495
"POINT (-90.3127777773439 41.4941666663433)",,,,Illinois,Quad City Med Force,654,,74IS,,Henry,W,Heliport,,,,Colona,Chicago,06/2001,IL,-90.3127777773439,41.4941666663433
"POINT (-89.5953719445387 38.1922722224912)",,,1,Illinois,Hurst Aviation,529,,6LL9,,Randolph,E,Heliport,,,,Coulterville,St Louis,05/1988,IL,-89.5953719445387,38.1922722224912
"POINT (-88.2848061113647 42.2205791669055)",,,,Illinois,Crystal Lake Holiday Inn,909,,IL18,,Mc Henry,W,Heliport,,,,Crystal Lake,Chicago,05/1989,IL,-88.2848061113647,42.2205791669055
"POINT (-87.5880555553993 40.1225000002328)",,,,Illinois,Danville V A,630,,19IL,,Vermilion,,Heliport,,,,Danville,Chicago,03/2010,IL,-87.5880555553993,40.1225000002328
"POINT (-87.5744444448093 40.0997222224233)",,,,Illinois,Welch,650,,IL00,,Vermilion,,Heliport,,,,Danville,St Louis,05/2006,IL,-87.5744444448093,40.0997222224233
"POINT (-87.5361286110806 40.1317033334159)",,,1,Illinois,Danville Correctional Center,650,,7IS4,,Vermilion,W,Heliport,,,,Danville,Chicago,11/1985,IL,-87.5361286110806,40.1317033334159
"POINT (-87.6452988885711 40.1364252781022)",,,1,Illinois,Provena United Samaritans Medical Center,612,,93IS,,Vermilion,W,Heliport,,,,Danville,Chicago,02/1974,IL,-87.6452988885711,40.1364252781022
"POINT (-88.961388889127 39.8672222221419)",,,1,Illinois,Decatur Memorial Hospital,750,,8IS6,,Macon,E,Heliport,,,,Decatur,St Louis,02/1974,IL,-88.961388889127,39.8672222221419
"POINT (-88.9309100001577 39.8272588886527)",,,1,Illinois,St Mary's Hospital - Decatur,658,,9IS3,,Macon,E,Heliport,,,,Decatur,St Louis,07/1974,IL,-88.9309100001577,39.8272588886527
"POINT (-89.0270244444815 39.8467041666607)",,,1,Illinois,Decatur Conference Center And Hotel,678,,49LL,,Macon,E,Heliport,,,,Decatur,St Louis,02/1987,IL,-89.0270244444815,39.8467041666607
"POINT (-88.8852777774104 39.8666666667778)",,,1,Illinois,Refreshment Services Inc,680,,9LL8,,Macon,W,Heliport,,,,Decatur,St Louis,04/2001,IL,-88.8852777774104,39.8666666667778
"POINT (-88.721738888845 41.9606111109396)",,,,Illinois,Kishwaukee Community Hospital,852,,0IL6,,De Kalb,,Heliport,,,,De Kalb,Chicago,02/1975,IL,-88.721738888845,41.9606111109396
"POINT (-87.8914552777598 42.0550283334751)",,,1,Illinois,Holy Family Hospital,650,,6IS5,,Cook,W,Heliport,,,,Des Plaines,Chicago,03/1985,IL,-87.8914552777598,42.0550283334751
"POINT (-89.4792980556993 41.8444766664114)",,,2,Illinois,Katherine Shaw Bethea Hospital,582,,49IS,,Lee,W,Heliport,,,,Dixon,Chicago,12/1987,IL,-89.4792980556993,41.8444766664114
"POINT (-89.4838888887723 41.8724999998416)",,,,Illinois,Dixon Correctional Center,794,,78IL,,Lee,W,Heliport,,,,Dixon,Chicago,07/2000,IL,-89.4838888887723,41.8724999998416
"POINT (-89.1636111113055 37.3655555557928)",,,,Illinois,Dongola,383,,0IS6,,Union,E,Heliport,,,,Dongola,St Louis,02/1999,IL,-89.1636111113055,37.3655555557928
"POINT (-88.0077777780491 41.8188888887226)",,,2,Illinois,Advocate Good Samaritan Hospital,772,,0IL4,,Du Page,W,Heliport,,,,Downers Grove,Chicago,02/1998,IL,-88.0077777780491,41.8188888887226
"POINT (-89.2359152778324 38.025605833279)",,,1,Illinois,Marshall Browning Hospital,454,,14IS,,Perry,E,Heliport,,,,Du Quoin,St Louis,10/1986,IL,-89.2359152778324,38.025605833279
"POINT (-89.3286111114772 42.4305555556472)",,,1,Illinois,Durand Ambulance Service,775,,9IL1,,Winnebago,W,Heliport,,,,Durand,Chicago,09/1998,IL,-89.3286111114772,42.4305555556472
"POINT (-88.5505555555023 39.1249999997473)",,,,Illinois,St Anthony Memorial Hospital,593,,11IS,,Effingham,E,Heliport,,,,Effingham,St Louis,10/1979,IL,-88.5505555555023,39.1249999997473
"POINT (-88.5441666662347 39.0799999997943)",,,,Illinois,Arch - Effingham,585,,77IL,,Effingham,,Heliport,,,,Effingham,St Louis,06/2004,IL,-88.5441666662347,39.0799999997943
"POINT (-88.4969444442991 41.8736111110252)",,,1,Illinois,Hammersmith,812,,06LL,,Adams,W,Heliport,,,,Elburn,Chicago,05/1999,IL,-88.4969444442991,41.8736111110252
"POINT (-88.2828555553708 42.0205822221487)",,,1,Illinois,Il.Dept Of Transportation,730,,2IL8,,Kane,W,Heliport,,,,Elgin,Chicago,10/1972,IL,-88.2828555553708,42.0205822221487
"POINT (-88.3250794441661 42.0369705558608)",,,,Illinois,Provena St Joseph Hospital - Elgin,846,,IS20,,Kane,W,Heliport,,,,Elgin,Chicago,05/1989,IL,-88.3250794441661,42.0369705558608
"POINT (-88.3297222223203 42.0722222223961)",,,,Illinois,Sherman Hospital Randall Road,905,,25LL,,Kane,,Heliport,,,,Elgin,Chicago,01/2010,IL,-88.3297222223203,42.0722222223961
"POINT (-88.0178474998203 42.0050283336046)",,,1,Illinois,Alexian Brothers Medical Center,707,,23IL,,Cook,W,Heliport,,,,Elk Grove Village,Chicago,08/1991,IL,-88.0178474998203,42.0050283336046
"POINT (-87.9633986108 41.9241961114003)",,,1,Illinois,Patten Industries,695,,3IL0,,Du Page,W,Heliport,,,,Elmhurst,Chicago,05/1972,IL,-87.9633986108,41.9241961114003
"POINT (-87.937222222647 41.8644444443102)",,,,Illinois,Elmhurst Memorial Hospital,674,,7IL6,,Du Page,,Heliport,,,,Elmhurst,Chicago,07/2011,IL,-87.937222222647,41.8644444443102
"POINT (-87.6845033330839 42.0647516668372)",,,1,Illinois,Evanston Hospital-Golf Course Site,610,,3IL8,,Cook,W,Heliport,,,,Evanston,Chicago,08/1975,IL,-87.6845033330839,42.0647516668372
"POINT (-87.6739472220954 42.061696388704)",,,1,Illinois,Evanston Water Plant,610,,9IS6,,Cook,W,Heliport,,,,Evanston,Chicago,09/1986,IL,-87.6739472220954,42.061696388704
"POINT (-88.5133897225425 40.7575341666109)",,,,Illinois,Norman Rittenhouse,640,,29IS,,Livingston,E,Heliport,,,,Fairbury,Chicago,02/1987,IL,-88.5133897225425,40.7575341666109
"POINT (-88.375044444548 38.3801305555744)",,,1,Illinois,Fairfield Memorial Hospital,450,,9IL8,,Wayne,W,Heliport,,,,Fairfield,St Louis,03/2002,IL,-88.375044444548,38.3801305555744
"POINT (-88.4724999999291 38.6794444441673)",,,1,Illinois,Clay County Hospital,475,,30IL,,Clay,W,Heliport,,,,Flora,St Louis,02/2001,IL,-88.4724999999291,38.6794444441673
"POINT (-88.1814738887859 42.3897430553928)",,,1,Illinois,Precision Chrome,745,,64IS,,Lake,W,Heliport,,,,Fox Lake,Chicago,03/1988,IL,-88.1814738887859,42.3897430553928
"POINT (-88.1875855552619 42.4033538886716)",,,1,Illinois,Arrow,738,,IL44,,Lake,W,Heliport,,,,Fox Lake,Chicago,06/1988,IL,-88.1875855552619,42.4033538886716
"POINT (-89.6378938889554 42.2944636112145)",,,1,Illinois,Fhn Memorial Hospital,870,,50IS,,Stephenson,E,Heliport,,,,Freeport,Chicago,12/1987,IL,-89.6378938889554,42.2944636112145
"POINT (-88.5828313885518 37.8383811112399)",,,1,Illinois,The American Coal Company,439,,6IL1,,Saline,W,Heliport,,,,Galatia,St Louis,05/1991,IL,-88.5828313885518,37.8383811112399
"POINT (-90.456944444705 42.4497222224684)",,,,Illinois,Midwest Medical Center,865,,13IL,,Jo Daviess,,Heliport,,,,Galena,Chicago,09/2010,IL,-90.456944444705,42.4497222224684
"POINT (-90.3657861109066 40.9556833331228)",,,1,Illinois,Galesburg Cottage Hospital,850,,5IL3,,Knox,E,Heliport,,,,Galesburg,Chicago,04/1974,IL,-90.3657861109066,40.9556833331228
"POINT (-90.3613888890319 40.9866666666636)",,,,Illinois,Osf St Mary Medical Center - Galesburg,790,,IL89,,Knox,E,Heliport,,,,Galesburg,Chicago,10/2002,IL,-90.3613888890319,40.9866666666636
"POINT (-90.1681744443131 41.4555900001888)",,,1,Illinois,Black Hawk,630,,9IS7,,Henry,E,Heliport,,,,Geneseo,Chicago,09/1986,IL,-90.1681744443131,41.4555900001888
"POINT (-90.1569444441479 41.4611111108045)",,,,Illinois,Hammond-Henry Hospital,650,,3LL2,,Henry,,Heliport,,,,Geneseo,Chicago,03/2004,IL,-90.1569444441479,41.4611111108045
"POINT (-88.3436111108607 41.8874999998468)",,,1,Illinois,Delnor Community Hospital,770,,76IL,,Kane,W,Heliport,,,,Geneva,Chicago,07/1998,IL,-88.3436111108607,41.8874999998468
"POINT (-88.3686647225879 40.4792005553299)",,,,Illinois,Gibson Area Hospital,782,,9IS8,,Ford,W,Heliport,,,,Gibson City,Chicago,09/1986,IL,-88.3686647225879,40.4792005553299
"POINT (-88.3692491665117 42.1000250000942)",,,1,Illinois,Olivers,895,,IS92,,Kane,E,Heliport,,,,Gilberts,Chicago,04/1991,IL,-88.3692491665117,42.1000250000942
"POINT (-88.05589999961 41.9147500000293)",,,1,Illinois,Adventist Glenoaks Medical Center,734,,IS09,,Du Page,W,Heliport,,,,Glendale Heights,Chicago,03/1993,IL,-88.05589999961,41.9147500000293
"POINT (-87.8525658328913 42.0930830558826)",,,1,Illinois,Northshore Glenbrook Hospital,678,,0IS2,,Cook,W,Heliport,,,,Glenview,Chicago,04/1982,IL,-87.8525658328913,42.0930830558826
"POINT (-90.4612272221109 38.9733816665354)",,,2,Illinois,Dept Of Juvenile Justice,450,,8IS3,,Jersey,E,Heliport,,,,Grafton,St Louis,03/1986,IL,-90.4612272221109,38.9733816665354
"POINT (-89.5062077781446 37.6328277780637)",,,1,Illinois,Grand Tower,370,,3IS9,,Jackson,E,Heliport,,,,Grand Tower,St Louis,11/1993,IL,-89.5062077781446,37.6328277780637
"POINT (-90.1433194447054 38.6999666666208)",,,,Illinois,Gateway Rgnl Medical Center,425,,38LL,,Madison,E,Heliport,,,,Granite City,Kansas City,06/2001,IL,-90.1433194447054,38.6999666666208
"POINT (-88.7742252778714 37.3975519441349)",,,1,Illinois,Vienna Correctional Center,510,,IL61,,Johnson,E,Heliport,,,,Grantsburg,St Louis,04/1988,IL,-88.7742252778714,37.3975519441349
"POINT (-88.0094444448536 42.3383333335122)",,,,Illinois,Nw Lake Forest Hospital-Grayslake,823,,LL14,,Lake,,Heliport,,,,Grayslake,Chicago,09/2010,IL,-88.0094444448536,42.3383333335122
"POINT (-89.4066999999374 38.9033277777341)",,,1,Illinois,Greenville Rgnl Hospital,585,,59IS,,Bond,E,Heliport,,,,Greenville,St Louis,02/1973,IL,-89.4066999999374,38.9033277777341
"POINT (-87.8875000000554 42.3583333331621)",,,2,Illinois,Nordic,700,,IL90,,Lake,W,Heliport,,,,Gurnee,Chicago,09/1996,IL,-87.8875000000554,42.3583333331621
"POINT (-90.6222222219289 39.1588888892166)",,,1,Illinois,Calhoun Medical Center,460,,36LL,,Calhoun,E,Heliport,,,,Hardin,Kansas City,04/2001,IL,-90.6222222219289,39.1588888892166
"POINT (-88.5222583329984 37.7312722223367)",,,1,Illinois,Harrisburg Medical Center,397,,4IS4,,Saline,E,Heliport,,,,Harrisburg,St Louis,06/1984,IL,-88.5222583329984,37.7312722223367
"POINT (-88.6078766666081 42.4264075002155)",,,,Illinois,Mercy Harvard Hospital,980,,8IL4,,Mc Henry,W,Heliport,,,,Harvard,Chicago,01/1970,IL,-88.6078766666081,42.4264075002155
"POINT (-87.6599583330976 41.605722222335)",,,1,Illinois,Ingalls Memorial Hospital,640,,IL92,,Cook,W,Heliport,,,,Harvey,Chicago,11/1991,IL,-87.6599583330976,41.605722222335
"POINT (-87.6699999995841 41.6122222218945)",,,2,Illinois,Harvey Police Department,605,,IS17,,Cook,W,Heliport,,,,Harvey,Chicago,02/1999,IL,-87.6699999995841,41.6122222218945
"POINT (-90.0544444442046 40.3058333331784)",,,1,Illinois,Mason District Hospital,479,,31IS,,Mason,W,Heliport,,,,Havana,Chicago,02/1987,IL,-90.0544444442046,40.3058333331784
"POINT (-87.6958802778667 41.5669786113897)",,,1,Illinois,South Suburban Hospital,665,,8IL8,,Cook,W,Heliport,,,,Hazel Crest,Chicago,08/1972,IL,-87.6958802778667,41.5669786113897
"POINT (-89.0261111111625 37.801944444682)",,,,Illinois,Herrin Hospital,444,,5IL0,,Williamson,W,Heliport,,,,Herrin,St Louis,05/2000,IL,-89.0261111111625,37.801944444682
"POINT (-88.9511111112478 40.3111111110636)",,,,Illinois,Brown,790,,29IL,,Mc Lean,,Heliport,,,,Heyworth,Chicago,05/2006,IL,-88.9511111112478,40.3111111110636
"POINT (-87.8267338884626 42.1988888892213)",,,1,Illinois,City Of Highland Park,640,,9IL5,,Lake,W,Heliport,,,,Highland Park,Chicago,03/1974,IL,-87.8267338884626,42.1988888892213
"POINT (-89.4813888890147 39.1516666665454)",,,1,Illinois,Hillsboro Area Hospital,650,,8IS4,,Montgomery,E,Heliport,,,,Hillsboro,St Louis,03/1986,IL,-89.4813888890147,39.1516666665454
"POINT (-88.1399444444177 42.0529888885918)",,,1,Illinois,St Alexius Medical Center,920,,IL03,,Cook,W,Heliport,,,,Hoffman Estates,Chicago,03/1993,IL,-88.1399444444177,42.0529888885918
"POINT (-88.1236111115301 42.0777777779586)",,,2,Illinois,Ameritech Center,842,,6IL7,,Cook,W,Heliport,,,,Hoffman Estates,Chicago,01/1997,IL,-88.1236111115301,42.0777777779586
"POINT (-87.6594680559717 40.4586474996932)",,,1,Illinois,Hoopeston Community Memorial Hospital,583,,01IL,,Vermilion,W,Heliport,,,,Hoopeston,Chicago,05/1972,IL,-87.6594680559717,40.4586474996932
"POINT (-88.9047888889374 38.1297694444113)",,,,Illinois,Big Muddy Correctional Facility,425,,IL67,,Jefferson,E,Heliport,,,,Ina,Chicago,03/1993,IL,-88.9047888889374,38.1297694444113
"POINT (-90.2603583334674 39.7477277781164)",,,2,Illinois,Passavant Area Hospital,604,,84IS,,Morgan,E,Heliport,,,,Jacksonville,St Louis,08/1975,IL,-90.2603583334674,39.7477277781164
"POINT (-88.0583333335937 41.47972222253)",,,2,Illinois,Chicagoland Speedway,650,,IL98,,Will,W,Heliport,,,,Joliet,Chicago,11/2002,IL,-88.0583333335937,41.47972222253
"POINT (-90.3437258330299 39.1100472220371)",,,2,Illinois,Jersey Community Hospital,630,,27IL,,Jersey,E,Heliport,,,,Jerseyville,St Louis,07/1990,IL,-90.3437258330299,39.1100472220371
"POINT (-88.1370047220234 41.5286416669753)",,,1,Illinois,Provena St Joseph Medical Center,641,,6IS9,,Will,W,Heliport,,,,Joliet,Chicago,06/1985,IL,-88.1370047220234,41.5286416669753
"POINT (-87.8811444445731 41.1249416664978)",,,1,Illinois,Riverside Medical Center,674,,10IL,,Kankakee,W,Heliport,,,,Kankakee,Chicago,08/1972,IL,-87.8811444445731,41.1249416664978
"POINT (-87.8722644443777 41.1219766669031)",,,1,Illinois,St Mary's Hospital - Kankakee,610,,11IL,,Kankakee,W,Heliport,,,,Kankakee,Chicago,03/1973,IL,-87.8722644443777,41.1219766669031
"POINT (-89.6741666662671 38.7602777778258)",,,,Illinois,Highland,560,,1IL5,,Madison,,Heliport,,,,Highland,St Louis,10/2010,IL,-89.6741666662671,38.7602777778258
"POINT (-89.9477777776992 41.2216666667361)",,,,Illinois,Kewanee Hospital,849,,0IL5,,Henry,,Heliport,,,,Kewanee,Chicago,06/2010,IL,-89.9477777776992,41.2216666667361
"POINT (-87.8872833335954 41.7969944445001)",,,1,Illinois,Adventist La Grange Memorial Hospital,700,,18IL,,Cook,W,Heliport,,,,La Grange,Chicago,10/1970,IL,-87.8872833335954,41.7969944445001
"POINT (-87.8636813885876 42.2536341667815)",,,1,Illinois,Northwestern Lake Forest Hospital,680,,45IL,,Lake,W,Heliport,,,,Lake Forest,Chicago,02/1989,IL,-87.8636813885876,42.2536341667815
"POINT (-87.6947486108145 38.7281025002721)",,,,Illinois,Lawrence Co Memorial Hospital,470,,1LL1,,Lawrence,W,Heliport,,,,Lawrenceville,St Louis,03/1974,IL,-87.6947486108145,38.7281025002721
"POINT (-88.0042261107069 41.6722530555547)",,,1,Illinois,Lemont Fire Dept,590,,6IS2,,Cook,W,Heliport,,,,Lemont,Chicago,02/1985,IL,-88.0042261107069,41.6722530555547
"POINT (-87.9572777779149 42.274638888876)",,,1,Illinois,Advocate Condell Medical Center,762,,02IS,,Lake,W,Heliport,,,,Libertyville,Chicago,09/1986,IL,-87.9572777779149,42.274638888876
"POINT (-89.3908333337551 40.1530555554109)",,,,Illinois,Abraham Lincoln Memorial Hospital,586,,20LL,,Logan,,Heliport,,,,Lincoln,Chicago,02/2011,IL,-89.3908333337551,40.1530555554109
"POINT (-88.0568888893292 42.4128888887222)",,,2,Illinois,Vista Surgery Center,809,,8IS8,,Lake,W,Heliport,,,,Lindenhurst,Chicago,08/1999,IL,-88.0568888893292,42.4128888887222
"POINT (-89.6397222219683 39.18111111103)",,,,Illinois,St Francis Hospital - Litchfield,690,,73IL,,Montgomery,W,Heliport,,,,Litchfield,St Louis,02/2000,IL,-89.6397222219683,39.18111111103
"POINT (-89.6658333331429 39.1605555553533)",,,,Illinois,Litchfield West Side Emergency Services,677,,4IL0,,Montgomery,W,Heliport,,,,Litchfield,Kansas City,04/2001,IL,-89.6658333331429,39.1605555553533
"POINT (-89.8051027781387 39.6775513887796)",,,1,Illinois,Reyhan,600,,1LL9,,Sangamon,E,Heliport,,,,Loami,St Louis,08/1974,IL,-89.8051027781387,39.6775513887796
"POINT (-88.2789752780095 42.3194661110231)",,,1,Illinois,Centegra Hospital Mchenry,815,,5IS8,,Mc Henry,W,Heliport,,,,Mc Henry,Chicago,10/1984,IL,-88.2789752780095,42.3194661110231
"POINT (-88.5389394441566 38.0867144441594)",,,,Illinois,Hamilton Memorial Hospital,440,,0IL0,,Hamilton,E,Heliport,,,,Mc Leansboro,St Louis,10/1994,IL,-88.5389394441566,38.0867144441594
"POINT (-90.6667969443305 40.4500408334599)",,,2,Illinois,Mcdonough District Hospital,685,,46IL,,Mc Donough,E,Heliport,,,,Macomb,Chicago,11/1968,IL,-90.6667969443305,40.4500408334599
"POINT (-88.5039833329467 40.1867999998071)",,,,Illinois,Reynolds Aerial Service,711,,6IL3,,Piatt,,Heliport,,,,Mansfield,Chicago,12/2013,IL,-88.5039833329467,40.1867999998071
"POINT (-88.9570152776729 37.7236608334691)",,,1,Illinois,Va Medical Center,464,,58IS,,Williamson,E,Heliport,,,,Marion,St Louis,01/1988,IL,-88.9570152776729,37.7236608334691
"POINT (-88.9924999998167 37.7427777780027)",,,1,Illinois,Heartland Rgnl Medical Center,451,,5IL6,,Williamson,W,Heliport,,,,Marion,St Louis,01/2003,IL,-88.9924999998167,37.7427777780027
"POINT (-89.6718750001969 38.2762083330078)",,,,Illinois,Prairie State Generating,449,,5IL4,,Washington,,Heliport,,,,Marissa,St Louis,12/2013,IL,-89.6718750001969,38.2762083330078
"POINT (-89.9467674999913 38.7369925002177)",,,2,Illinois,Anderson Hospital,590,,8IS9,,Madison,E,Heliport,,,,Maryville,St Louis,03/1986,IL,-89.9467674999913,38.7369925002177
"POINT (-88.2733333334091 39.488888888545)",,,1,Illinois,Sarah Bush Lincoln Health Center,702,,21IL,,Coles,W,Heliport,,,,Mattoon,St Louis,02/2000,IL,-88.2733333334091,39.488888888545
"POINT (-88.4122222224062 39.4927777776079)",,,1,Illinois,Rural King Supply,715,,IL43,,Coles,W,Heliport,,,,Mattoon,St Louis,08/2001,IL,-88.4122222224062,39.4927777776079
"POINT (-87.843888888781 41.9113888885945)",,,2,Illinois,Gottlieb,688,,14LL,,Cook,W,Heliport,,,,Melrose Park,Chicago,03/1999,IL,-87.843888888781,41.9113888885945
"POINT (-87.873611111515 41.9086111113164)",,,2,Illinois,Henry Valve Company,640,,13LL,,Cook,W,Heliport,,,,Melrose Park,Chicago,05/1999,IL,-87.873611111515,41.9086111113164
"POINT (-89.0863888886854 41.5525000001622)",,,,Illinois,Mendota Community Hospital,773,,14IL,,La Salle,E,Heliport,,,,Mendota,Chicago,06/1972,IL,-89.0863888886854,41.5525000001622
"POINT (-89.5931944444597 40.1313999999225)",,,,Illinois,Maaks,527,,3IL4,,Logan,W,Heliport,,,,Middletown,Chicago,08/1999,IL,-89.5931944444597,40.1313999999225
"POINT (-88.9872222223511 40.860833333592)",,,,Illinois,Jerry Lay,757,,IS18,,Woodford,,Heliport,,,,Minonk,Chicago,04/2010,IL,-88.9872222223511,40.860833333592
"POINT (-88.3248611113312 41.5392499998157)",,,,Illinois,Wilson,595,,44IL,,Kendall,,Heliport,,,,Minooka,Chicago,05/2006,IL,-88.3248611113312,41.5392499998157
"POINT (-88.2658333332379 41.3869444444898)",,,,Illinois,Dresden Power Station,509,,52IS,,Grundy,,Heliport,,,,Minooka,Chicago,12/2003,IL,-88.2658333332379,41.3869444444898
"POINT (-90.5308333337162 41.4680555557496)",,,1,Illinois,Trinity Medical Center - Moline,570,,IS97,,Rock Island,E,Heliport,,,,Moline,Chicago,10/1998,IL,-90.5308333337162,41.4680555557496
"POINT (-87.7202833332583 41.3851333336024)",,,,Illinois,Kaiser,750,,IL96,,Will,,Heliport,,,,Monee,Chicago,03/2005,IL,-87.7202833332583,41.3851333336024
"POINT (-90.65541333315 40.9217047220576)",,,2,Illinois,Osf Holy Family Medical Center,760,,LL01,,Warren,E,Heliport,,,,Monmouth,Chicago,10/1974,IL,-90.65541333315,40.9217047220576
"POINT (-88.3592380553212 41.716973611416)",,,,Illinois,Caterpillar Aurora,660,,IS74,,Kendall,W,Heliport,,,,Montgomery,Chicago,08/1981,IL,-88.3592380553212,41.716973611416
"POINT (-88.5600000004284 40.0599999996582)",,,,Illinois,Kirby Medical Center,673,,40LL,,Piatt,,Heliport,,,,Monticello,Chicago,06/2013,IL,-88.5600000004284,40.0599999996582
"POINT (-88.4270119442084 41.3703094444031)",,,,Illinois,Morris Hospital,512,,LL04,,Grundy,W,Heliport,,,,Morris,Chicago,01/1969,IL,-88.4270119442084,41.3703094444031
"POINT (-89.9574999996774 41.809444444737)",,,,Illinois,Morrison Community Hospital,634,,5LL9,,Whiteside,,Heliport,,,,Morrison,Chicago,10/2004,IL,-89.9574999996774,41.809444444737
"POINT (-87.7694730552107 38.4214358329874)",,,,Illinois,Wabash General Hospital,469,,67IS,,Wabash,W,Heliport,,,,Mount Carmel,Chicago,03/1988,IL,-87.7694730552107,38.4214358329874
"POINT (-88.9361111109055 38.3122222222413)",,,,Illinois,Crossroads Community Hospital,545,,75IL,,Jefferson,E,Heliport,,,,Mount Vernon,St Louis,07/1998,IL,-88.9361111109055,38.3122222222413
"POINT (-88.93777777771 38.2972222222135)",,,,Illinois,St. Mary's Good Samaritan,501,,4IL6,,Jefferson,,Heliport,,,,Mt. Vernon,St Louis,03/2013,IL,-88.93777777771,38.2972222222135
"POINT (-89.3254722218047 37.7735194447682)",,,1,Illinois,St Joseph Memorial Hospital,405,,IS38,,Jackson,E,Heliport,,,,Murphysboro,St Louis,05/1989,IL,-89.3254722218047,37.7735194447682
"POINT (-88.1503441668001 41.7605852775741)",,,1,Illinois,Edward Hospital,702,,LL11,,Du Page,W,Heliport,,,,Naperville,Chicago,04/1972,IL,-88.1503441668001,41.7605852775741
"POINT (-89.3922222226091 38.3388888890497)",,,1,Illinois,Washington County Hospital,700,,2LL8,,Washington,W,Heliport,,,,Nashville,St Louis,02/2001,IL,-89.3922222226091,38.3388888890497
"POINT (-87.981944444825 41.5455555555842)",,,,Illinois,Silver Cross Hospital,717,,9IL9,,Will,,Heliport,,,,New Lenox,Chicago,03/2012,IL,-87.981944444825,41.5455555555842
"POINT (-88.1764280554283 38.989487499984)",,,,Illinois,Jasper County Safety Council,540,,6LL7,,Jasper,E,Heliport,,,,Newton,St Louis,08/1975,IL,-88.1764280554283,38.989487499984
"POINT (-89.2936111112774 38.3013888888671)",,,,Illinois,Nokomis Community Memorial Park,665,,IS27,,Adams,,Heliport,,,,Nokomis,St Louis,07/2004,IL,-89.2936111112774,38.3013888888671
"POINT (-88.9908333330122 40.4963888890934)",,,1,Illinois,Advocate Bromenn Medical Center,810,,IL25,,Mc Lean,W,Heliport,,,,Normal,Chicago,10/2002,IL,-88.9908333330122,40.4963888890934
"POINT (-87.9444444448676 41.8480555555553)",,,1,Illinois,Mc Donald's Plaza,665,,77IS,,Du Page,W,Heliport,,,,Oak Brook,Chicago,01/1977,IL,-87.9444444448676,41.8480555555553
"POINT (-87.9272222218199 41.8497222223183)",,,,Illinois,Center Point,660,,IL17,,Du Page,,Heliport,,,,Oak Brook,Chicago,03/2005,IL,-87.9272222218199,41.8497222223183
"POINT (-88.0772594442414 38.73754750015)",,,,Illinois,Richland Memorial Hospital,485,,8LL4,,Richland,E,Heliport,,,,Olney,St Louis,11/1972,IL,-88.0772594442414,38.73754750015
"POINT (-87.7097222222469 41.5236111107997)",,,1,Illinois,Franciscan St James Health - Olympia Fields,718,,IS30,,Cook,W,Heliport,,,,Olympia Fields,Chicago,10/1989,IL,-87.7097222222469,41.5236111107997
"POINT (-89.3649999996327 41.9341666664599)",,,,Illinois,Wilco,805,,31LL,,Ogle,,Heliport,,,,Oregon,Chicago,06/2013,IL,-89.3649999996327,41.9341666664599
"POINT (-88.825076389026 41.3572552781139)",,,,Illinois,Osf St Elizabeth Medical Center,480,,LL25,,La Salle,E,Heliport,,,,Ottawa,Chicago,11/1975,IL,-88.825076389026,41.3572552781139
"POINT (-88.0264633333384 42.1678027780727)",,,1,Illinois,Rotor Swing,750,,23LL,,Lake,W,Heliport,,,,Palatine,Chicago,11/1977,IL,-88.0264633333384,42.1678027780727
"POINT (-87.8125555555511 41.6691666668636)",,,1,Illinois,Palos Community Hospital,717,,20IL,,Cook,W,Heliport,,,,Palos Heights,Chicago,06/1991,IL,-87.8125555555511,41.6691666668636
